alice is a surviving_spouse for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a surviving_spouse for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is a surviving_spouse for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a surviving_spouse for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is married under sec_7703 for the year alice files a joint_return with her spouse for alice's and her spouse's taxable_income for the year is dollar_figure	alice and her spouse have to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is married under sec_7703 for the year alice files a joint_return with her spouse for alice's and her spouse's taxable_income for the year is dollar_figure	alice and her spouse have to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is a surviving_spouse for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is a head_of_household for the year alice's taxable_income for the year is dollar_figure	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return from her spouse	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return	alice has to pay dollar_figure in taxes for the year under sec_1	Entailment
alice is married under sec_7703 for the year alice's taxable_income for the year is dollar_figure alice files a separate_return	alice has to pay dollar_figure in taxes for the year under sec_1	Contradiction
